Čas;Režim;Původce;Zakázaná doména;Počet pokusů
2026-04-01 10:57:26;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);gmlinteractive.com;3
2026-04-01 10:57:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;3
2026-04-01 10:57:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);gmlinteractive.com;2
2026-04-01 10:56:26;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);kaizengaming.com;4
2026-04-01 10:56:26;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.com;4
2026-04-01 10:56:26;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);gmlinteractive.com;4
2026-04-01 10:56:26;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;14
2026-04-01 10:56:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);kaizengaming.com;4
2026-04-01 10:56:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.com;4
2026-04-01 10:56:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);gmlinteractive.com;4
2026-04-01 10:56:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;14
2026-03-31 19:55:23;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-03-31 17:40:39;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;2
2026-03-31 17:38:39;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-03-30 22:00:45;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-03-29 21:01:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);discord.com;1
2026-03-29 21:00:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);discord.com;1
2026-03-29 21:00:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);discordapp.com;2
2026-03-29 19:16:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);discord.com;1
2026-03-29 19:15:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);discord.com;1
2026-03-29 19:14:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);discord.com;2
